1559011066769,5,0,0
1559011068774,9,5,0
1559011070781,7,0,0
1559011072787,7,0,0
1559011074791,8,8,1
1559011076795,7,7,1
1559011078801,6,2,0
1559011080806,2,6,0
1559011082809,6,0,0
1559011084814,2,0,0
1559011086818,8,8,1
1559011088822,9,9,1
1559011090826,6,6,1
1559011092829,9,9,1
1559011094834,6,6,1
1559011096838,8,0,0
1559011098844,9,0,0
1559011100848,4,9,0
1559011102852,2,2,1
1559011104857,1,0,0
1559011106861,5,2,0
1559011108868,8,5,0
1559011110872,1,0,0
1559011112876,1,1,1
1559011114880,4,4,1
1559011116882,4,4,1
1559011118887,3,4,0
1559011120892,4,3,0
1559011122898,7,4,0
1559011124900,4,0,0
1559011126906,9,0,0
1559011128909,4,4,1
1559011130915,6,6,1
1559011132920,7,0,0
1559011134923,6,0,0
1559011136929,2,0,0
1559011138933,5,0,0
1559011140938,4,0,0
1559011142941,4,4,1
1559011144945,5,5,1
1559011146949,3,0,0
1559011148952,2,4,0
1559011150955,5,0,0
1559011152961,2,0,0
1559011154963,2,2,1
1559011156966,3,3,1
1559011158969,7,7,1
1559011160974,3,7,0
1559011162978,8,3,0
1559011164982,9,9,1
1559011166986,5,5,1
1559011168990,8,8,1
1559011170995,2,0,0
1559011172999,3,3,1
1559011175003,6,6,1
1559011177006,3,3,1
1559011179009,1,0,0
1559011181014,8,0,0
1559011183017,8,8,1
1559011185021,4,4,1
1559011187027,1,1,1
1559011189031,7,7,1
1559011191035,9,9,1
1559011193040,3,3,1
1559011195043,3,3,1
1559011197047,2,2,1
1559011199052,4,4,1
1559011201056,1,1,1
1559011203060,3,3,1
1559011205064,5,4,0
1559011207069,3,3,1
1559011209074,9,9,1
1559011211080,2,0,0
1559011213084,4,4,1
1559011215089,8,8,1
1559011217093,8,8,1
1559011219097,6,6,1
1559011221102,8,8,1
1559011223106,2,2,1
1559011225111,4,4,1
1559011227115,3,3,1
1559011229121,8,8,1
1559011231124,1,1,1
1559011233127,9,9,1
1559011235131,4,4,1
1559011237136,6,6,1
1559011239141,9,9,1
1559011241146,7,7,1
1559011243152,2,2,1
1559011245156,9,7,0
1559011247161,9,9,1
1559011249164,7,0,0
1559011251169,1,1,1
1559011253174,4,4,1
1559011255177,8,3,0
1559011257181,3,8,0
1559011259187,4,2,0
1559011261190,2,2,1
1559011263195,6,6,1
1559011265200,4,0,0
1559011267203,9,9,1
1559011269207,5,5,1
1559011271211,5,5,1
1559011273215,2,2,1
1559011275220,8,8,1
1559011277224,3,3,1
1559011279228,5,5,1
1559011281232,5,0,0
1559011283234,1,0,0
1559011285238,7,8,0
1559011287243,7,7,1
1559011289246,8,7,0
1559011291252,1,1,1
1559011293257,4,4,1
1559011295260,1,1,1
1559011297264,4,4,1
1559011299269,5,5,1
1559011301273,2,2,1
1559011303278,2,1,0
1559011305282,1,1,1
1559011307288,1,2,0
1559011309291,2,0,0
1559011311296,8,0,0
1559011313300,6,0,0
1559011315303,9,0,0
1559011317307,2,2,1
1559011319311,9,9,1
1559011321316,6,6,1
1559011323320,3,4,0
1559011325323,5,5,1
1559011327328,3,0,0
1559011329332,9,0,0
1559011331335,2,2,1
1559011333340,7,7,1
1559011335344,9,9,1
1559011337348,9,9,1
1559011339354,2,2,1
1559011341358,2,9,0
1559011343361,9,9,1
1559011345365,6,0,0
1559011347370,2,0,0
1559011349376,3,3,1
1559011351379,3,3,1
1559011353384,2,2,1
1559011355390,2,2,1
1559011357392,5,5,1
1559011359397,5,4,0
1559011361400,4,0,0
1559011363404,8,4,0
1559011365409,4,0,0
1559011367412,1,0,0
1559011369416,4,4,1
1559011371420,3,3,1
1559011373424,1,1,1
1559011375430,1,1,1
1559011377433,2,2,1
1559011379436,9,9,1
1559011381440,2,8,0
1559011383443,8,7,0
1559011385446,7,0,0
1559011387449,6,6,1
1559011389452,1,0,0
1559011391457,5,0,0
1559011393462,3,0,0
1559011395465,2,0,0
1559011397468,5,0,0
1559011399472,7,5,0
1559011401476,7,0,0
1559011403481,9,9,1
1559011405485,7,7,1
1559011407488,3,7,0
1559011409493,6,3,0
1559011411497,1,6,0
1559011413501,5,0,0
